Description;DAPI;Rhodamine;Condition;Well;Photo;;;
Arithmetic mean intensity;6087,746507;3571,193627;treated;1;1;;;
Variance;1774023,684;637909,8454;treated;1;1;;;
Standard deviation;1331,924804;798,6925851;treated;1;1;;;
Median;5679;3477;treated;1;1;;;
Minimum;4406;1861;treated;1;1;;;
Maximum;16383;16383;treated;1;1;;;
Sum;6383464881;3744667929;treated;1;1;;;
Skewness;2,320064391;1,353085527;treated;1;1;;;
Kurtosis;7,092237166;9,084502979;treated;1;1;;;
Underflow;0;0;treated;1;1;;;
In Range;1048576;1048576;treated;1;1;;;
Overflow;0;0;treated;1;1;;;
Arithmetic mean intensity;8155,78338;3410,952637;treated;1;2;;;
Variance;4823463,637;816497,3022;treated;1;2;;;
Standard deviation;2196,23852;903,6024027;treated;1;2;;;
Median;7493;3268;treated;1;2;;;
Minimum;5721;1893;treated;1;2;;;
Maximum;16383;16383;treated;1;2;;;
Sum;8551958713;3576643072;treated;1;2;;;
Skewness;1,926260403;1,063551992;treated;1;2;;;
Kurtosis;3,639561764;2,077075023;treated;1;2;;;
Underflow;0;0;treated;1;2;;;
In Range;1048576;1048576;treated;1;2;;;
Overflow;0;0;treated;1;2;;;
Arithmetic mean intensity;8765,714769;3862,52849;treated;1;3;;;
Variance;6500866,847;1165398,557;treated;1;3;;;
Standard deviation;2549,679754;1079,536269;treated;1;3;;;
Median;7980;3738;treated;1;3;;;
Minimum;5133;1905;treated;1;3;;;
Maximum;16383;16383;treated;1;3;;;
Sum;9191518130;4050154674;treated;1;3;;;
Skewness;1,482439253;1,016149548;treated;1;3;;;
Kurtosis;1,618805124;3,367626541;treated;1;3;;;
Underflow;0;0;treated;1;3;;;
In Range;1048576;1048576;treated;1;3;;;
Overflow;0;0;treated;1;3;;;
Arithmetic mean intensity;8696,298949;3396,319843;treated;1;4;;;
Variance;5918086,121;582041,1125;treated;1;4;;;
Standard deviation;2432,711681;762,9161897;treated;1;4;;;
Median;7848;3292;treated;1;4;;;
Minimum;5800;2011;treated;1;4;;;
Maximum;16383;16383;treated;1;4;;;
Sum;9118730367;3561299476;treated;1;4;;;
Skewness;1,606611876;1,701887048;treated;1;4;;;
Kurtosis;2,034207888;12,77106689;treated;1;4;;;
Underflow;0;0;treated;1;4;;;
In Range;1048576;1048576;treated;1;4;;;
Overflow;0;0;treated;1;4;;;
Arithmetic mean intensity;8204,948394;3127,533784;treated;1;5;;;
Variance;4828018,556;645278,0036;treated;1;5;;;
Standard deviation;2197,275257;803,2919791;treated;1;5;;;
Median;7521;2994;treated;1;5;;;
Minimum;5676;1860;treated;1;5;;;
Maximum;16383;16383;treated;1;5;;;
Sum;8603511967;3279456865;treated;1;5;;;
Skewness;1,932382732;2,438825949;treated;1;5;;;
Kurtosis;3,646793799;16,5923678;treated;1;5;;;
Underflow;0;0;treated;1;5;;;
In Range;1048576;1048576;treated;1;5;;;
Overflow;0;0;treated;1;5;;;
Arithmetic mean intensity;8126,605929;3955,504068;treated;1;6;;;
Variance;3936229,348;637185,0588;treated;1;6;;;
Standard deviation;1983,993283;798,2387229;treated;1;6;;;
Median;7566;3852;treated;1;6;;;
Minimum;5065;2048;treated;1;6;;;
Maximum;16383;16383;treated;1;6;;;
Sum;8521363939;4147646634;treated;1;6;;;
Skewness;1,470915493;1,159994292;treated;1;6;;;
Kurtosis;2,268361984;4,401021575;treated;1;6;;;
Underflow;0;0;treated;1;6;;;
In Range;1048576;1048576;treated;1;6;;;
Overflow;0;0;treated;1;6;;;
Arithmetic mean intensity;6848,986523;4375,844508;untreated;2;1;;;
Variance;2337329,034;1312443,419;untreated;2;1;;;
Standard deviation;1528,832572;1145,619229;untreated;2;1;;;
Median;6392;4238;untreated;2;1;;;
Minimum;4849;2351;untreated;2;1;;;
Maximum;16383;16383;untreated;2;1;;;
Sum;7181682892;4588405531;untreated;2;1;;;
Skewness;2,603617365;1,72384222;untreated;2;1;;;
Kurtosis;8,354736976;7,185000862;untreated;2;1;;;
Underflow;0;0;untreated;2;1;;;
In Range;1048576;1048576;untreated;2;1;;;
Overflow;0;0;untreated;2;1;;;
Arithmetic mean intensity;6660,403704;3809,868367;untreated;2;2;;;
Variance;2295416,26;1915231,922;untreated;2;2;;;
Standard deviation;1515,063121;1383,919044;untreated;2;2;;;
Median;6203;3501;untreated;2;2;;;
Minimum;4484;2032;untreated;2;2;;;
Maximum;16383;16383;untreated;2;2;;;
Sum;6983939474;3994936533;untreated;2;2;;;
Skewness;2,549851484;1,801261911;untreated;2;2;;;
Kurtosis;8,45217486;5,877868651;untreated;2;2;;;
Underflow;0;0;untreated;2;2;;;
In Range;1048576;1048576;untreated;2;2;;;
Overflow;0;0;untreated;2;2;;;
Arithmetic mean intensity;7203,566208;3675,149246;untreated;2;3;;;
Variance;2384116,58;960300,9009;untreated;2;3;;;
Standard deviation;1544,058477;979,9494379;untreated;2;3;;;
Median;6723;3609;untreated;2;3;;;
Minimum;5138;1894;untreated;2;3;;;
Maximum;16383;16383;untreated;2;3;;;
Sum;7553486640;3853673296;untreated;2;3;;;
Skewness;2,494395585;1,521008904;untreated;2;3;;;
Kurtosis;7,730566766;8,505712911;untreated;2;3;;;
Underflow;0;0;untreated;2;3;;;
In Range;1048576;1048576;untreated;2;3;;;
Overflow;0;0;untreated;2;3;;;
Arithmetic mean intensity;8337,296022;5606,453507;untreated;2;4;;;
Variance;3811774,84;1488534,22;untreated;2;4;;;
Standard deviation;1952,376716;1220,055007;untreated;2;4;;;
Median;7828;5454;untreated;2;4;;;
Minimum;5145;2670;untreated;2;4;;;
Maximum;16383;16383;untreated;2;4;;;
Sum;8742288514;5878792593;untreated;2;4;;;
Skewness;1,292157178;0,72169193;untreated;2;4;;;
Kurtosis;1,644654488;1,046358777;untreated;2;4;;;
Underflow;0;0;untreated;2;4;;;
In Range;1048576;1048576;untreated;2;4;;;
Overflow;0;0;untreated;2;4;;;
Arithmetic mean intensity;6873,020865;3884,237082;untreated;2;5;;;
Variance;2164685,534;1210590,639;untreated;2;5;;;
Standard deviation;1471,287033;1100,268439;untreated;2;5;;;
Median;6366;3773;untreated;2;5;;;
Minimum;5041;2010;untreated;2;5;;;
Maximum;16383;16383;untreated;2;5;;;
Sum;7206884727;4072917783;untreated;2;5;;;
Skewness;2,38273777;0,995978434;untreated;2;5;;;
Kurtosis;6,889160511;2,241010129;untreated;2;5;;;
Underflow;0;0;untreated;2;5;;;
In Range;1048576;1048576;untreated;2;5;;;
Overflow;0;0;untreated;2;5;;;
Arithmetic mean intensity;7207,276281;3807,095256;untreated;2;6;;;
Variance;2934932,732;1373358,745;untreated;2;6;;;
Standard deviation;1713,164537;1171,903898;untreated;2;6;;;
Median;6657;3635;untreated;2;6;;;
Minimum;5072;1998;untreated;2;6;;;
Maximum;16383;16383;untreated;2;6;;;
Sum;7557376934;3992028715;untreated;2;6;;;
Skewness;2,454042563;1,348421337;untreated;2;6;;;
Kurtosis;7,080566475;4,0126949;untreated;2;6;;;
Underflow;0;0;untreated;2;6;;;
In Range;1048576;1048576;untreated;2;6;;;
Overflow;0;0;untreated;2;6;;;
Arithmetic mean intensity;9121,966485;4142,565901;treated;3;1;;;
Variance;7616449,867;2171144,201;treated;3;1;;;
Standard deviation;2759,791635;1473,480302;treated;3;1;;;
Median;8280;3968;treated;3;1;;;
Minimum;5658;1899;treated;3;1;;;
Maximum;16383;16383;treated;3;1;;;
Sum;9565075129;4343795182;treated;3;1;;;
Skewness;1,320320119;1,407064338;treated;3;1;;;
Kurtosis;0,961688552;5,920207546;treated;3;1;;;
Underflow;0;0;treated;3;1;;;
In Range;1048576;1048576;treated;3;1;;;
Overflow;0;0;treated;3;1;;;
Arithmetic mean intensity;7812,838863;3445,439138;treated;3;2;;;
Variance;4209495,008;1181858,249;treated;3;2;;;
Standard deviation;2051,70539;1087,133041;treated;3;2;;;
Median;7105;3280;treated;3;2;;;
Minimum;5590;1965;treated;3;2;;;
Maximum;16383;16383;treated;3;2;;;
Sum;8192355324;3612804790;treated;3;2;;;
Skewness;2,353168454;1,784843198;treated;3;2;;;
Kurtosis;5,845184503;7,89959307;treated;3;2;;;
Underflow;0;0;treated;3;2;;;
In Range;1048576;1048576;treated;3;2;;;
Overflow;0;0;treated;3;2;;;
Arithmetic mean intensity;7464,887757;3662,056146;treated;3;3;;;
Variance;2980974,751;1639341,634;treated;3;3;;;
Standard deviation;1726,549956;1280,367773;treated;3;3;;;
Median;6864;3410;treated;3;3;;;
Minimum;5571;1892;treated;3;3;;;
Maximum;16383;16383;treated;3;3;;;
Sum;7827502145;3839944185;treated;3;3;;;
Skewness;2,790013769;1,325018149;treated;3;3;;;
Kurtosis;8,955364187;2,917202958;treated;3;3;;;
Underflow;0;0;treated;3;3;;;
In Range;1048576;1048576;treated;3;3;;;
Overflow;0;0;treated;3;3;;;
Arithmetic mean intensity;6687,640602;2983,43751;treated;3;4;;;
Variance;2322128,12;684043,1091;treated;3;4;;;
Standard deviation;1523,853051;827,0689869;treated;3;4;;;
Median;6186;2782;treated;3;4;;;
Minimum;5021;1750;treated;3;4;;;
Maximum;16383;16383;treated;3;4;;;
Sum;7012499432;3128360970;treated;3;4;;;
Skewness;3,068193546;1,764317226;treated;3;4;;;
Kurtosis;11,57037947;7,894238341;treated;3;4;;;
Underflow;0;0;treated;3;4;;;
In Range;1048576;1048576;treated;3;4;;;
Overflow;0;0;treated;3;4;;;
Arithmetic mean intensity;6576,58997;3033,0707;treated;3;5;;;
Variance;2125768,967;1010374,985;treated;3;5;;;
Standard deviation;1458,001703;1005,174107;treated;3;5;;;
Median;6133;2720;treated;3;5;;;
Minimum;4888;1825;treated;3;5;;;
Maximum;16383;16383;treated;3;5;;;
Sum;6896054404;3180405142;treated;3;5;;;
Skewness;3,206484685;2,598145453;treated;3;5;;;
Kurtosis;13,37732382;13,62222791;treated;3;5;;;
Underflow;0;0;treated;3;5;;;
In Range;1048576;1048576;treated;3;5;;;
Overflow;0;0;treated;3;5;;;
Arithmetic mean intensity;7218,340793;2863,955555;treated;3;6;;;
Variance;2046918,424;882009,4042;treated;3;6;;;
Standard deviation;1430,705569;939,1535573;treated;3;6;;;
Median;6713;2465;treated;3;6;;;
Minimum;5511;1846;treated;3;6;;;
Maximum;16383;16383;treated;3;6;;;
Sum;7568978915;3003075060;treated;3;6;;;
Skewness;2,844890154;2,322586446;treated;3;6;;;
Kurtosis;10,09427079;9,756923905;treated;3;6;;;
Underflow;0;0;treated;3;6;;;
In Range;1048576;1048576;treated;3;6;;;
Overflow;0;0;treated;3;6;;;
Arithmetic mean intensity;6337,266022;3146,924623;untreated;4;1;;;
Variance;1570799,538;1512915,228;untreated;4;1;;;
Standard deviation;1253,315418;1230,00619;untreated;4;1;;;
Median;5945;2847;untreated;4;1;;;
Minimum;4780;1769;untreated;4;1;;;
Maximum;16383;16383;untreated;4;1;;;
Sum;6645105056;3299789633;untreated;4;1;;;
Skewness;3,430301028;2,273140354;untreated;4;1;;;
Kurtosis;15,49864554;9,190258318;untreated;4;1;;;
Underflow;0;0;untreated;4;1;;;
In Range;1048576;1048576;untreated;4;1;;;
Overflow;0;0;untreated;4;1;;;
Arithmetic mean intensity;5389,487855;3159,8879;untreated;4;2;;;
Variance;661227,5629;1613711,325;untreated;4;2;;;
Standard deviation;813,1590022;1270,319379;untreated;4;2;;;
Median;5158;2767;untreated;4;2;;;
Minimum;4155;1696;untreated;4;2;;;
Maximum;16383;16383;untreated;4;2;;;
Sum;5651287617;3313382615;untreated;4;2;;;
Skewness;2,530363996;2,181834426;untreated;4;2;;;
Kurtosis;10,6601832;8,808813165;untreated;4;2;;;
Underflow;0;0;untreated;4;2;;;
In Range;1048576;1048576;untreated;4;2;;;
Overflow;0;0;untreated;4;2;;;
Arithmetic mean intensity;6164,299314;3547,362776;untreated;4;3;;;
Variance;1472607,981;1589784,081;untreated;4;3;;;
Standard deviation;1213,510602;1260,866401;untreated;4;3;;;
Median;5738;3237;untreated;4;3;;;
Minimum;4717;1825;untreated;4;3;;;
Maximum;16383;16383;untreated;4;3;;;
Sum;6463736317;3719679470;untreated;4;3;;;
Skewness;2,284024202;1,147451085;untreated;4;3;;;
Kurtosis;6,430501953;1,841075972;untreated;4;3;;;
Underflow;0;0;untreated;4;3;;;
In Range;1048576;1048576;untreated;4;3;;;
Overflow;0;0;untreated;4;3;;;
Arithmetic mean intensity;6738,855204;3690,520707;untreated;4;4;;;
Variance;2077804,228;583277,0076;untreated;4;4;;;
Standard deviation;1441,459062;763,7257411;untreated;4;4;;;
Median;6308;3578;untreated;4;4;;;
Minimum;4687;2100;untreated;4;4;;;
Maximum;16383;16383;untreated;4;4;;;
Sum;7066201834;3869791441;untreated;4;4;;;
Skewness;2,48258243;1,450158754;untreated;4;4;;;
Kurtosis;8,219803265;5,918566053;untreated;4;4;;;
Underflow;0;0;untreated;4;4;;;
In Range;1048576;1048576;untreated;4;4;;;
Overflow;0;0;untreated;4;4;;;
Arithmetic mean intensity;6724,082873;3519,257997;untreated;4;5;;;
Variance;2684108,471;1189443,398;untreated;4;5;;;
Standard deviation;1638,324898;1090,616063;untreated;4;5;;;
Median;6225;3321;untreated;4;5;;;
Minimum;4712;1900;untreated;4;5;;;
Maximum;16383;16383;untreated;4;5;;;
Sum;7050711923;3690209473;untreated;4;5;;;
Skewness;2,470687472;1,882039339;untreated;4;5;;;
Kurtosis;7,596932999;7,967609996;untreated;4;5;;;
Underflow;0;0;untreated;4;5;;;
In Range;1048576;1048576;untreated;4;5;;;
Overflow;0;0;untreated;4;5;;;
Arithmetic mean intensity;6065,880461;3753,033032;untreated;4;6;;;
Variance;1604278,695;980665,379;untreated;4;6;;;
Standard deviation;1266,601237;990,2855038;untreated;4;6;;;
Median;5691;3617;untreated;4;6;;;
Minimum;4235;1996;untreated;4;6;;;
Maximum;16383;16383;untreated;4;6;;;
Sum;6360536670;3935340365;untreated;4;6;;;
Skewness;1,729207071;1,217407748;untreated;4;6;;;
Kurtosis;3,532660001;3,76007652;untreated;4;6;;;
Underflow;0;0;untreated;4;6;;;
In Range;1048576;1048576;untreated;4;6;;;
Overflow;0;0;untreated;4;6;;;
